genome_id	assembly_accession	sra_accession
573.13841		SRR5387283
573.13842		SRR5387282
573.13843		SRR5387281
573.13844		SRR5387280
573.13845		SRR5387279
573.13846		SRR5387278
573.13847		SRR5387277
573.13848		SRR5387275
573.13849		SRR5386394
573.13850		SRR5387274
573.13851		SRR5387271
573.13852		SRR5387273
573.13853		SRR5387270
573.13854		SRR5387269
573.13855		SRR5387268
573.13856		SRR5387266
573.13857		SRR5386393
573.13858		SRR5387264
573.13859		SRR5387263
573.13860		SRR5387262
573.13861		SRR5387261
573.13862		SRR5387260
573.13863		SRR5387259
573.13864		SRR5387258
573.13865		SRR5387257
573.13866		SRR5387256
573.13867		SRR5387255
573.13868		SRR5387254
573.13869		SRR5387253
573.13870		SRR5387252
573.13871		SRR5387251
573.13872		SRR5387250
573.13873		SRR5387249
573.13874		SRR5387248
573.13875		SRR5386392
573.13876		SRR5387247
573.13877		SRR5387245
573.13878		SRR5387244
573.13879		SRR5387243
573.13880		SRR5387242
573.13881		SRR5387241
573.13882		SRR5387239
573.13883		SRR5387238
573.13884		SRR5386391
573.13885		SRR5387237
573.13886		SRR5387236
573.13887		SRR5387235
573.13888		SRR5387234
573.13889		SRR5387233
573.13890		SRR5387232
573.13891		SRR5387231
573.13892		SRR5387230
573.13893		SRR5386390
573.13894		SRR5387229
573.13895		SRR5387227
573.13896		SRR5387226
573.13897		SRR5387225
573.13898		SRR5387224
573.13899		SRR5387223
573.13900		SRR5387222
573.13901		SRR5387221
573.13902		SRR5386389
573.13903		SRR5387220
573.13904		SRR5387219
573.13905		SRR5387218
573.13906		SRR5387217
573.13907		SRR5387216
573.13908		SRR5387215
573.13909		SRR5387214
573.13910		SRR5387213
573.13911		SRR5387212
573.13912		SRR5386388
573.13913		SRR5387211
573.13914		SRR5387210
573.13915		SRR5387209
573.13916		SRR5387208
573.13917		SRR5387207
573.13918		SRR5387203
573.13919		SRR5387202
573.13920		SRR5386387
573.13921		SRR5387201
573.13922		SRR5387200
573.13923		SRR5387199
573.13924		SRR5387197
573.13925		SRR5387196
573.13926		SRR5387195
573.13927		SRR5387194
573.13928		SRR5386386
573.13929		SRR5387193
573.13930		SRR5387192
573.13931		SRR5387191
573.13932		SRR5387190
573.13933		SRR5387189
573.13934		SRR5387187
573.13935		SRR5387185
573.13936		SRR5387184
573.13937		SRR5387181
573.13938		SRR5387179
573.13939		SRR5387178
573.13940		SRR5387177
573.13941		SRR5387176
573.13942		SRR5386383
573.13943		SRR5387175
573.13944		SRR5387173
573.13945		SRR5387172
573.13946		SRR5387170
573.13947		SRR5387169
573.13948		SRR5387168
573.13949		SRR5387167
573.13950		SRR5387166
573.13951		SRR5387165
573.13952		SRR5387164
573.13953		SRR5387162
573.13954		SRR5387161
573.13955		SRR5387159
573.13956		SRR5387158
573.13957		SRR5387157
573.13958		SRR5387156
573.13959		SRR5386381
573.13960		SRR5387155
573.13961		SRR5387154
573.13962		SRR5387153
573.13963		SRR5387152
573.13964		SRR5386380
573.13965		SRR5386379
573.13966		SRR5386378
573.13967		SRR5386377
573.13968		SRR5386376
573.13969		SRR5386375
573.13970		SRR5386374
573.13971		SRR5386373
573.13972		SRR5386372
573.13973		SRR5386371
573.13974		SRR5386370
573.13975		SRR5386369
573.13976		SRR5386368
573.13977		SRR5386367
573.13978		SRR5386366
573.13979		SRR5386365
573.13980		SRR5386364
573.13981		SRR5386363
573.13982		SRR5386362
573.13983		SRR5386361
573.13984		SRR5386359
573.13985		SRR5386358
573.13986		SRR5386357
573.13987		SRR5386356
573.13988		SRR5386355
573.13989		SRR5386354
573.13990		SRR5386353
573.13991		SRR5386352
573.13992		SRR5386351
573.13993		SRR5386350
573.13994		SRR5386349
573.13995		SRR5386347
573.13996		SRR5386346
573.13997		SRR5386345
573.13998		SRR5386344
573.13999		SRR5386343
573.14000		SRR5386342
573.14001		SRR5386341
573.14002		SRR5386340
573.14003		SRR5386339
573.14004		SRR5386338
573.14005		SRR5386337
573.14006		SRR5386336
573.14007		SRR5386335
573.14008		SRR5386334
573.14009		SRR5386333
573.14010		SRR5386332
573.14011		SRR5386331
573.14012		SRR5386330
573.14013		SRR5386329
573.14014		SRR5386328
573.14015		SRR5386327
573.14016		SRR5386326
573.14017		SRR5386325
573.14018		SRR5386324
573.14019		SRR5386323
573.14020		SRR5386322
573.14022		SRR5386319
573.14023		SRR5386318
573.14024		SRR5386317
573.14026		SRR5386315
573.14027		SRR5386314
573.14028		SRR5386313
573.14029		SRR5386312
573.14030		SRR5386311
573.14031		SRR5386310
573.14032		SRR5386309
573.14033		SRR5386307
573.14034		SRR5386306
573.14035		SRR5386305
573.14036		SRR5386304
573.14037		SRR5386303
573.14038		SRR5386302
573.14039		SRR5386301
573.14040		SRR5386300
573.14041		SRR5386299
573.14042		SRR5386298
573.14043		SRR5386297
573.14044		SRR5386296
573.14045		SRR5386295
573.14046		SRR5386293
573.14047		SRR5386292
573.14048		SRR5386291
573.14049		SRR5386290
573.14050		SRR5386289
573.14051		SRR5386288
573.14052		SRR5386287
573.14053		SRR5386286
573.14054		SRR5386285
573.14055		SRR5386284
573.14056		SRR5386283
573.14057		SRR5386282
573.14058		SRR5386281
573.14059		SRR5386280
573.14060		SRR5386279
573.14061		SRR5386277
573.14062		SRR5386276
573.14063		SRR5386275
573.14064		SRR5386274
573.14065		SRR5386273
573.14066		SRR5386272
573.14067		SRR5386271
573.14068		SRR5386270
573.14069		SRR5386269
573.14070		SRR5386268
573.14071		SRR5386267
573.14072		SRR5386266
573.14073		SRR5386265
573.14074		SRR5386264
573.14075		SRR5386262
573.14076		SRR5386261
573.14077		SRR5386260
573.14078		SRR5386259
573.14079		SRR5386258
573.14080		SRR5386257
573.14081		SRR5386256
573.14082		SRR5386255
573.14083		SRR5386254
573.14084		SRR5386252
573.14085		SRR5386251
573.14086		SRR5386249
573.14087		SRR5386250
573.14088		SRR5386248
573.14089		SRR5386246
573.14090		SRR5386245
573.14091		SRR5386243
573.14092		SRR5386242
573.14093		SRR5386241
573.14094		SRR5386240
573.14095		SRR5386239
573.14096		SRR5386238
573.14097		SRR5386237
573.14098		SRR5386236
573.14099		SRR5386235
573.14100		SRR5386234
573.14101		SRR5386233
573.14102		SRR5386232
573.14103		SRR5386231
573.14104		SRR5386230
573.14105		SRR5386229
